Id Name HP ATK DEF SPD SPE Type1 Type2 Moves
0 Missingno 255 255 255 255 255 NORMAL NONE Water_Gun,Sky_Attack
1 Bulbasaur 45 49 49 45 65 GRASS POISON Tackle,Growl,Leech_Seed,Vine_Whip,Razor_Leaf,Growth,Sleep_Powder,SolarBeam,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
2 Ivysaur 60 62 63 60 80 GRASS POISON Tackle,Growl,Leech_Seed,Leech_Seed,Vine_Whip,Razor_Leaf,Growth,Sleep_Powder,SolarBeam,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
3 Venusaur 80 82 83 80 100 GRASS POISON Tackle,Growl,Leech_Seed,Vine_Whip,Leech_Seed,Vine_Whip,Razor_Leaf,Growth,Sleep_Powder,SolarBeam,Swords_Dance,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Mimic,Double_Team,Reflect,Bide,Rest,Substitute,Cut,
4 Charmander 39 52 43 65 50 FIRE NONE Scratch,Growl,Ember,Leer,Rage,Slash,Flamethrower,Fire_Spin,Mega_Punch,Swords_Dance,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Dragon_Rage,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Cut,Strength,
5 Charmeleon 58 64 58 80 65 FIRE NONE Scratch,Growl,Ember,Ember,Leer,Rage,Slash,Flamethrower,Fire_Spin,Mega_Punch,Swords_Dance,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Submission,Counter,Seismic_Toss,Rage,Dragon_Rage,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Cut,Strength,
6 Charizard 78 84 78 100 85 FIRE FLYING Scratch,Growl,Ember,Leer,Ember,Leer,Rage,Slash,Flamethrower,Fire_Spin,Mega_Punch,Swords_Dance,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Dragon_Rage,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Reflect,Bide,Fire_Blast,Swift,Skull_Bash,Rest,Substitute,Cut,Fly,Strength,
7 Squirtle 44 48 65 43 50 WATER NONE Tackle,Tail_Whip,Bubble,Water_Gun,Bite,Withdraw,Skull_Bash,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Surf,Strength,
8 Wartortle 59 63 80 58 65 WATER NONE Tackle,Tail_Whip,Bubble,Bubble,Water_Gun,Bite,Withdraw,Skull_Bash,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Submission,Counter,Seismic_Toss,Rage,Dig,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Surf,Strength,
9 Blastoise 79 83 100 78 85 WATER NONE Tackle,Tail_Whip,Bubble,Water_Gun,Bubble,Water_Gun,Bite,Withdraw,Skull_Bash,Hydro_Pump,Mega_Punch,Mega_Kick,Toxic,Body_Slam,Slam,Take_Down,Double-Edge,Bubble,Water_Gun,Ice_Beam,Blizzard,Hyper_Beam,Submission,Counter,Seismic_Toss,Rage,Earthquake,Fissure,Dig,Mimic,Double_Team,Reflect,Bide,Skull_Bash,Rest,Substitute,Surf,Strength,
10 Caterpie 45 30 35 45 20 BUG NONE Tackle,String_Shot,
11 Metapod 50 20 55 30 25 BUG NONE Harden,String_Shot,Tackle,
12 Butterfree 60 45 50 70 80 BUG FLYING Confusion,Confusion,Spore,Stun_Spore,Sleep_Powder,Supersonic,Whirlwind,Gust,Psybeam,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,SolarBeam,Psychic,Teleport,Mimic,Double_Team,Reflect,Bide,Swift,Rest,Psywave,Substitute,Flash,Tackle,String_Shot,Harden,
13 Weedle 40 35 30 50 20 BUG POISON Poison_Sting,String_Shot,
14 Kakuna 45 25 50 35 25 BUG POISON Harden,Poison_Sting,String_Shot,
15 Beedrill 65 80 40 75 45 BUG POISON Fury_Attack,Fury_Attack,Focus_Energy,Twineedle,Rage,Pin_Missile,Agility,Swords_Dance,Toxic,Take_Down,Double-Edge,Hyper_Beam,Rage,Mega_Drain,Mimic,Double_Team,Reflect,Bide,Swift,Skull_Bash,Rest,Substitute,Cut,Harden,Poison_Sting,String_Shot,
16 Pidgey 40 45 40 56 35 NORMAL FLYING Gust,Quick_Attack,Whirlwind,Wing_Attack,Agility,Mirror_Move,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,
17 Pidgeotto 63 60 55 71 50 NORMAL FLYING Gust,Quick_Attack,Whirlwind,Wing_Attack,Agility,Mirror_Move,Razor_Wind,Whirlwind,Toxic,Take_Down,Double-Edge,Rage,Mimic,Double_Team,Reflect,Bide,Swift,Sky_Attack,Rest,Substitute,Fly,
